code,status,notes,received_date,intransit_date,border_date,warehouse_date,delivered_date
KH001,received,Получен на складе в Китае,2024-01-15,,,,
KH002,intransit,Груз в пути,2024-01-15,2024-01-20,,,
KH003,border,На границе (Торугарт),2024-01-15,2024-01-20,2024-01-25,,
KH004,warehouse,На складе в Душанбе,2024-01-15,2024-01-20,2024-01-25,2024-01-28,
KH005,delivered,Доставлен клиенту,2024-01-10,2024-01-15,2024-01-20,2024-01-23,2024-01-25
KH006,waiting,Ожидает отправки,,,,,
KH007,payment,Ожидает оплату,2024-01-18,,,,
KH008,received,Электроника (телефоны),2024-01-16,,,,
KH009,intransit,Одежда и обувь,2024-01-14,2024-01-19,,,
KH010,warehouse,Запчасти для авто,2024-01-12,2024-01-17,2024-01-22,2024-01-24,
